card_id,tcgplayer_id
666mgFjKrrLQhdkpGzNzf,225219
666mgFjKrrLQhdkpGzNzf,225751
666mgFjKrrLQhdkpGzNzf,238505
666mgFjKrrLQhdkpGzNzf,262534
666mgFjKrrLQhdkpGzNzf,270918
666mgFjKrrLQhdkpGzNzf,275540
666mgFjKrrLQhdkpGzNzf,647433
667jCHDNcTc6zNTcjFk8m,653956
667jCHDNcTc6zNTcjFk8m,653957
66LHrpFckMQ8WNWhPjbD6,565586
66LHrpFckMQ8WNWhPjbD6,577188
66LHrpFckMQ8WNWhPjbD6,577210
66LHrpFckMQ8WNWhPjbD6,584695
66LHrpFckMQ8WNWhPjbD6,676800
67HPjqjK7wtjKtnHL8zwb,248426
67HPjqjK7wtjKtnHL8zwb,250511
67HPjqjK7wtjKtnHL8zwb,262518
67PfThWHNmFmMj68D7WLf,275734
67fGrFQnnpt8PLBckjKdG,248377
67fGrFQnnpt8PLBckjKdG,262559
67fGrFQnnpt8PLBckjKdG,567097
67qdjCMdF7qMmrDpcjWWD,248371
67qdjCMdF7qMmrDpcjWWD,262464
67zdgKFWD7qzcPppbRHNB,518651
67zdgKFWD7qzcPppbRHNB,518652
688rBwm6gmkFjGPrchjCq,225167
688rBwm6gmkFjGPrchjCq,271158
68HKwDLNHwFdPpdpFMJBg,549739
68HKwDLNHwFdPpdpFMJBg,551546
68J8LFDffgJ8j6RJ6FhmD,237779
68J8LFDffgJ8j6RJ6FhmD,238495
68J8LFDffgJ8j6RJ6FhmD,533621
68J8LFDffgJ8j6RJ6FhmD,537228
68J8LFDffgJ8j6RJ6FhmD,537286
68J8LFDffgJ8j6RJ6FhmD,549261
68PDzWMgFLKpqQNpQGQFB,225168
68PDzWMgFLKpqQNpQGQFB,271161
68PDzWMgFLKpqQNpQGQFB,676599
68gf9fggmcjDR7Tk78zJm,676461
69GnfBCnLKPjLMkhQ6gF6,533033
69GnfBCnLKPjLMkhQ6gF6,537280
69GnfBCnLKPjLMkhQ6gF6,542193
69GnfBCnLKPjLMkhQ6gF6,542281
69MBWzRNRPKgtQhz8PbML,648176
69TdTgmPz69bNLRWPHLpK,518428
69mRCnm9t6Dcjkk9H8RhG,633320
69mRCnm9t6Dcjkk9H8RhG,633674
69rMfrhmMBTgKkhmqHn6W,518317
6B8TGFRbgK6dQQLKfP8qD,517467
6B8TGFRbgK6dQQLKfP8qD,518245
6BCMqFPmmMJDgMPCrKh9Q,695291
6C9QJwPPMFCtRjjTmFq7z,225271
6CRmnh6wbcGBJLpzwPf6M,518314
6CbcjKgjJbTDrfbtDhMkW,565643
6CbcjKgjJbTDrfbtDhMkW,577280
6CcjWGnThrTmTQFQ9zHMN,225524
6CcjWGnThrTmTQFQ9zHMN,225545
6CcjWGnThrTmTQFQ9zHMN,225652
6CcjWGnThrTmTQFQ9zHMN,225999
6CcjWGnThrTmTQFQ9zHMN,270923
6ChQcHfgrFqCLTrFppwQG,528092
6ChQcHfgrFqCLTrFppwQG,559709
6CkGNJTJPDRwwqrWKJKzn,453339
6CpcdCrJKFkpkdkdLPQqT,633296
6CpcdCrJKFkpkdkdLPQqT,633650
6CrKfkzFgFLWFD7tFgT9H,533031
6CrKfkzFgFLWFD7tFgT9H,537279
6CrqfmG7dCTFgNzLbKtcc,248407
6CrqfmG7dCTFgNzLbKtcc,565662
6DFGcBD8MKkJmGmFLwQbc,676274
6DkjQLNmzwdBmwhfGWTJG,533591
6F7r7J6hRpwwH8hrtjdTp,550294
6F7r7J6hRpwwH8hrtjdTp,551493
6FGKKGj7QbWJ6tJfh9Qmn,261456
6FM8BWrmKQJMQThd8DB9L,225911
6FrQwLkL6fft9mWQcDM6R,275650
6FrqKM6Ckpz9NCG8wGcGq,237938
6GBcGgr77phGjWjbjNbRn,261439
6GbtFTnH86TCFdKLMdrPk,489265
6GbtFTnH86TCFdKLMdrPk,500678
6GbtFTnH86TCFdKLMdrPk,501740
6GcRhhrGgk8TwpLJpCjPk,708921
6Gqn7z8PhLkHtBnF7MmwJ,612649
6Gqn7z8PhLkHtBnF7MmwJ,618012
6HPNkbgGwRmTbRWQ7bmPf,694919
6HRcwkwHQjK9JdGHPPtqC,248465
6HTFGH8fzF8THpGNjpmHR,633234
6HTFGH8fzF8THpGNjpmHR,634067
6JWDWhqwDrdDPnGfqMQQR,533585
6JWDWhqwDrdDPnGfqMQQR,545419
6JztkHqwkFCGJgfBwKgq8,653974
6JztkHqwkFCGJgfBwKgq8,666543
6KQdhWqcGdhFgmRzwBrnh,533451
6KW6hmRbDRRcrThDpMDDT,676333
6KgPjKJBhMkRQgKDdhnbL,488522
6KgPjKJBhMkRQgKDdhnbL,489152
6KgPjKJBhMkRQgKDdhnbL,489277
6KnWFFJk9CkMRMMc8LJ8n,225871
6KnWFFJk9CkMRMMc8LJ8n,271060
6KwJ86P99FbcRKnbnRpnj,261471
6LHg9KT9MK8GzCJ8HGPpN,533490
6LLwpNzLJBgr8c8nTqdmr,562509
6LzhNhWTWGWzFLDbCktPt,225788
6M6NPTgtR8MTpJJrDMtRW,225269
6M6NPTgtR8MTpJJrDMtRW,552022
6MRRLJw7g9wgwWPMDhzmT,225861
6MRRLJw7g9wgwWPMDhzmT,271263
6MktH8f6TgMJPmPLN8M8R,584676
6NQchRgTdMDpdPjM9wfbh,708929
6Ncbh6FMrcwkH7DmjJMwj,488348
6NqHrDGMBKrbmcCKQG6Hd,261418
6PPFnJ8tNtPKN6Km7NWpp,510040
6PPFnJ8tNtPKN6Km7NWpp,518856
6PPFnJ8tNtPKN6Km7NWpp,526142
6PPFnJ8tNtPKN6Km7NWpp,677675
6QFJz9JnJhnLBFrtJWh7t,488537
6QFJz9JnJhnLBFrtJWh7t,577779
6QFJz9JnJhnLBFrtJWh7t,695278
6QKhRnpgcFmhcGgQKNH8K,577783
6QdjhDLqHJ9DB8GHD6fmf,453346
6QdjhDLqHJ9DB8GHD6fmf,617915
6QfkfBbmfr77GMbDTTbLw,225799
6QfkfBbmfr77GMbDTTbLw,271135
6QjFBg8DFzJBbLNmzKjPj,225930
6QjFBg8DFzJBbLNmzKjPj,271269
6QzjLDc9KbnJWrFqd8zjW,518250
6RMJpmJnGGNQdHFMnJKcD,502783
6RffdjmzwF6NbD96cLDWR,248394
6RffdjmzwF6NbD96cLDWR,262452
6RmpNRmdhQFNjJTqtRwbK,676466
6RzzhHKt8kjPMkfmQ9LqJ,677657
6TFrJmTqf9DjPmgPrmd8m,633313
6TFrJmTqf9DjPmgPrmd8m,633667
6TdnF7dGqjJJcCBdKb98r,237708
6TdnF7dGqjJJcCBdKb98r,238510
6TdnF7dGqjJJcCBdKb98r,501481
6TdnF7dGqjJJcCBdKb98r,502750
6WM7PKt9BCGmw7wQzn7k6,225509
6WM7PKt9BCGmw7wQzn7k6,225688
6WM7PKt9BCGmw7wQzn7k6,270963
6Wcpcb7DQ8GMGMTwjdQTR,225630
6Wcpcb7DQ8GMGMTwjdQTR,271090
6b6WhdH96PdDWBQhMzgLB,237874
6bkFRTMhgjKWfftkpqtD6,225607
6bkFRTMhgjKWfftkpqtD6,271050
6bkFRTMhgjKWfftkpqtD6,517580
6cMTKCkgKrCLPBBdRFPjh,708906
6cNDdMzwq6KHcHjFdmmHT,633335
6cNLLnWnpJdfmdpQHMFMb,632110
6cfpHFn7czfqJDTRhw7fp,653928
6cjnMQdchnmhcWTkNMrbK,634593
6cjnMQdchnmhcWTkNMrbK,649726
6dCLFb9TTGPNKHFqH7mzw,646328
6dMC789mNcrmnMPWGMdhb,225113
6dMC789mNcrmnMPWGMdhb,225754
6dMC789mNcrmnMPWGMdhb,270958
6dMC789mNcrmnMPWGMdhb,552497
6dNCtnqWjTwr88JCckKDG,631890
6dNCtnqWjTwr88JCckKDG,633704
6dNCtnqWjTwr88JCckKDG,634079
6dNCtnqWjTwr88JCckKDG,678590
6dRWCNgFHTQJLpTnQcCD7,708939
6dhcGczKkMnrNJg9gDWdw,708965
6djPj8nJPB6mFWrjrj7ft,237732
6dntPtjP6wmc6nMwb79GP,676263
6dntPtjP6wmc6nMwb79GP,676692
6fB9pCdHTN9WBhTBF7D6D,225267
6fB9pCdHTN9WBhTBF7D6D,225360
6fB9pCdHTN9WBhTBF7D6D,225371
6fB9pCdHTN9WBhTBF7D6D,271094
6fGDjThJfHN7ttFCHGGnC,226022
6fGDjThJfHN7ttFCHGGnC,271111
6fHc7b8L8fhK8GCqJTzrc,488535
6fHc7b8L8fhK8GCqJTzrc,577777
6fHc7b8L8fhK8GCqJTzrc,695276
6fPwHjKFPwPTCfRgmrkB9,664633
6gFbdhHwNwJmRJPqTfHRc,518344
6gMmQCFkPbTT7hJ7frhrJ,488365
6gMmQCFkPbTT7hJ7frhrJ,489188
6gqTwGnmHjkCLDqKPWt8c,517572
6gqTwGnmHjkCLDqKPWt8c,537215
6gqTwGnmHjkCLDqKPWt8c,537246
6gqTwGnmHjkCLDqKPWt8c,537275
6gqTwGnmHjkCLDqKPWt8c,537304
6gqTwGnmHjkCLDqKPWt8c,537811
6gqTwGnmHjkCLDqKPWt8c,538442
6gqTwGnmHjkCLDqKPWt8c,549278
6gqTwGnmHjkCLDqKPWt8c,618264
6h97MQcbc89bqd99BGRht,550300
6h97MQcbc89bqd99BGRht,551499
6hDkMpLkc7DhKgtNQFwHP,261495
6hwzWtTQ8pPqmNwL9dDFP,551500
6j78cmbzJ6RkG9FKBgfp9,561920
6j78cmbzJ6RkG9FKBgfp9,649249
6j7RrdTPfczH7PhHm8Brq,226005
6jHQz9TfCjcddBGqKkWgJ,533516
6jHQz9TfCjcddBGqKkWgJ,537320
6jnwnJMfJmF8tzMP6p86j,248544
6kFn87DgtCPtJ9J9M6zGL,653803
6kKnCBgtcwPWzKhHLDPLn,237710
6kKnCBgtcwPWzKhHLDPLn,238517
6kKnCBgtcwPWzKhHLDPLn,501483
6kKnCBgtcwPWzKhHLDPLn,502754
6mDWM8jqfRP6NNLrcNjtQ,551503
6mR8hhpB9hT6wf9QbWnrd,551498
6mTWkJTLFBRrFDtcRK6Jh,708967
6mcbQprDMBHRMTfwnDfL9,676493
6mhWMHfB9pFcqz7QJfbhp,692530
6mmfrKtTWkcBJDcphpLdc,237834
6nBW69HNQRGM7mpMzNCGB,225928
6nGBJrh8MDLD7JJBD6NPK,248437
6nGBJrh8MDLD7JJBD6NPK,262425
6nGBJrh8MDLD7JJBD6NPK,561917
6nGBJrh8MDLD7JJBD6NPK,647332
6nPhzmrgb6bf6Km6gDBFG,453222
6nWPC67gz89pM77PJpqBw,708928
6ntF8Rdm7PqLkHWnPMkrF,533040
6ntF8Rdm7PqLkHWnPMkrF,537310
6ntF8Rdm7PqLkHWnPMkrF,542196
6ntF8Rdm7PqLkHWnPMkrF,542294
6pkDBRPmCgD7GmJ9FTrQR,275677
6pmddtzdHzQ77rjGrM6mw,653413
6pmddtzdHzQ77rjGrM6mw,666548
6q8j8bjLPkBrkJCBPGbKb,646291
6q8j8bjLPkBrkJCBPGbKb,646561
6q8j8bjLPkBrkJCBPGbKb,650367
6rMqWGtD7TMCrTRwdN6hH,676453
6rkDBBFc9rN7rpqqNbnrD,653969
6t8mpJGpHNQ9MKNrm99pr,551935
6tj9kHRWLHbCbF6mG6tDh,517512
6tr7pJgCdgwkQ79TmpcnF,708889
6wDLWfBNH8rPfhKPNtT8L,633350
6wNwBJcdhW7G7ghRp9mpG,708917
6wknmpgBbdgQBjD7LR6rb,275704
6wnMt8LFtDnM9LLwB7ghN,225261
6wnMt8LFtDnM9LLwB7ghN,489241
6zdg7pmncFthJQtLB79Jc,695287
76KHBFmKK6NdFdc7zcmHk,237730
76MpwMj77CmK8wDp6HMDn,502794
76cHnpRhNn7GWNNfFbNhL,503259
77HjThGWgwMQMqDRNBLMc,261522
77h7d88mFMjcrqwPHfQKG,261314
77rDjRrtRKDHTpNwbHWDW,502781
77rDjRrtRKDHTpNwbHWDW,678570
77rfcbF6JzTp98njhmLrq,261520
78FGMN9nn9QR9FDzC9z68,270508
78FGMN9nn9QR9FDzC9z68,274437
78qm8bGbrcGwf7chnPrqj,633333
78zTbm7gJD7r866HNpHGW,248343
78zTbm7gJD7r866HNpHGW,262523
7BHmLFHMLWwnzR7Fhf667,273127
7Cftm8TM9jQpwggJdLkTW,533555
7Cftm8TM9jQpwggJdLkTW,537238
